transformed_feature,coefficient,raw_feature,abs_coefficient
apache_3j_diagnosis_1304.09,-0.010678685938557371,apache_3j_diagnosis,0.010678685938557371
height,0.010646889959820754,height,0.010646889959820754
apache_3j_diagnosis_704.04,0.010633344218600705,apache_3j_diagnosis,0.010633344218600705
apache_3j_diagnosis_802.08,-0.01056260520888125,apache_3j_diagnosis,0.01056260520888125
missingindicator_h1_diasbp_noninvasive_min,-0.010547837342673822,h1_diasbp_noninvasive_min,0.010547837342673822
missingindicator_h1_diasbp_noninvasive_max,-0.010547837342673822,h1_diasbp_noninvasive_max,0.010547837342673822
icu_id_508.0,-0.010532017270335115,icu_id,0.010532017270335115
apache_3j_diagnosis_602.14,-0.010393272365019201,apache_3j_diagnosis,0.010393272365019201
apache_3j_diagnosis_1208.05,-0.010349173157901001,apache_3j_diagnosis,0.010349173157901001
icu_id_517.0,-0.010271172277225698,icu_id,0.010271172277225698
d1_sysbp_max,-0.010246080000801804,d1_sysbp_max,0.010246080000801804
apache_3j_diagnosis_602.04,0.010051830159667667,apache_3j_diagnosis,0.010051830159667667
apache_3j_diagnosis_1303.02,0.010041437553748402,apache_3j_diagnosis,0.010041437553748402
apache_3j_diagnosis_1505.01,0.009893938313659532,apache_3j_diagnosis,0.009893938313659532
h1_mbp_invasive_max,0.009716934042178674,h1_mbp_invasive_max,0.009716934042178674
apache_3j_diagnosis_1506.04,0.009716758263838375,apache_3j_diagnosis,0.009716758263838375
missingindicator_h1_lactate_max,0.009603799349640884,h1_lactate_max,0.009603799349640884
missingindicator_h1_lactate_min,0.009603799349640884,h1_lactate_min,0.009603799349640884
apache_3j_diagnosis_602.1,-0.009544981383472928,apache_3j_diagnosis,0.009544981383472928
missingindicator_h1_bilirubin_max,0.00954134067608794,h1_bilirubin_max,0.00954134067608794
missingindicator_h1_bilirubin_min,0.00954134067608794,h1_bilirubin_min,0.00954134067608794
icu_id_534.0,-0.009384111881275609,icu_id,0.009384111881275609
apache_3j_diagnosis_211.06,0.00933516796435765,apache_3j_diagnosis,0.00933516796435765
apache_3j_diagnosis_1602.02,-0.009266992260437248,apache_3j_diagnosis,0.009266992260437248
h1_platelets_min,0.009261518818238897,h1_platelets_min,0.009261518818238897
missingindicator_h1_temp_max,0.009207844141797952,h1_temp_max,0.009207844141797952
missingindicator_h1_temp_min,0.009207844141797952,h1_temp_min,0.009207844141797952
hospital_id_130.0,0.009108749782745553,hospital_id,0.009108749782745553
icu_id_365.0,0.009108749782745553,icu_id,0.009108749782745553
apache_3j_diagnosis_703.02,-0.00903850361051844,apache_3j_diagnosis,0.00903850361051844
apache_3j_diagnosis_0.24,-0.009025891001526993,apache_3j_diagnosis,0.009025891001526993
d1_arterial_po2_min,-0.00893620051461969,d1_arterial_po2_min,0.00893620051461969
apache_3j_diagnosis_1604.03,-0.008857642704301288,apache_3j_diagnosis,0.008857642704301288
apache_3j_diagnosis_1903.02,-0.008855220406920298,apache_3j_diagnosis,0.008855220406920298
apache_3j_diagnosis_0.23,-0.008854896059996245,apache_3j_diagnosis,0.008854896059996245
h1_albumin_min,-0.008814738440594062,h1_albumin_min,0.008814738440594062
apache_3j_diagnosis_1703.04,-0.008792442886147838,apache_3j_diagnosis,0.008792442886147838
icu_id_487.0,0.008453781557435567,icu_id,0.008453781557435567
hospital_id_146.0,-0.008432663196759095,hospital_id,0.008432663196759095
missingindicator_h1_arterial_ph_min,0.00827361665353635,h1_arterial_ph_min,0.00827361665353635
